source_id,stream,doi,year,title,authors,decision,reason_code,analysis_level,license,redistribution_status,query_stream,notes
B01-S01,S7,10.1016/j.petrol.2016.01.036,2016,"The novel approach for the enhancement of rheological properties of water-based drilling fluids by using multi-walled carbon nanotube, nanosilica and glass beads","Ismail, A.R.; Aftab, A.; Ibupoto, Z.H.; Zolkifile, N.",include,,abstract,unknown_elsevier,restricted,S7,s7_batch; machine_extracted
B01-S02,S7,10.1016/j.molliq.2024.125448,2024,Physico-chemical studies and development of water-based drilling fluid formulations with carbon nanotube additives,"Lysakova, E.I.; Skorobogatova, A.D.; Neverov, A.L.; Pryazhnikov, M.I.; Rudyak, V.Ya.; Minakov, A.V.",include,inaccessible_fulltext,metadata_only,unknown_elsevier,restricted,S7,s7_batch; machine_extracted
B01-S03,S7,10.1016/j.colsurfa.2023.132434,2023,Comparative analysis of the effect of single-walled and multi-walled carbon nanotube additives on the properties of hydrocarbon-based drilling fluids,"Lysakova, E.; Skorobogatova, A.; Neverov, A.; Pryazhnikov, M.; Zhigarev, V.; Voronin, A.; Shabanova, K.; Minakov, A.",include,inaccessible_fulltext,metadata_only,unknown_elsevier,restricted,S7,s7_batch; machine_extracted
B01-S04,S7,10.1007/s10853-024-09492-w,2024,A comprehensive study of the effect of multi-walled carbon nanotubes as an additive on the properties of oil-based drilling fluids,"Lysakova, E.I.; Skorobogatova, A.D.; Neverov, A.L.; Pryazhnikov, M.I.; Rudyak, V.Ya.; Minakov, A.V.",include,inaccessible_fulltext,metadata_only,unknown_springer,restricted,S7,s7_batch; machine_extracted
B01-S05,S7,10.3390/en16196875,2023,Effect of Nanoparticle and Carbon Nanotube Additives on Thermal Stability of Hydrocarbon-Based Drilling Fluids,"Lysakova, Evgeniya I.; Minakov, Andrey V.; Skorobogatova, Angelica D.",include,,oa_html_partial_read,cc-by-4.0,allowed,S7,s7_batch; machine_extracted
B01-S06,S7,10.1007/s13204-014-0359-5,2014,Thermal and rheological properties improvement of drilling fluids using functionalized carbon nanotubes,"Fazelabdolabadi, Babak; Khodadadi, Abbas Ali; Sedaghatzadeh, Mostafa",include,,abstract_plus_publisher_landing; pdf_not_copied,cc-by,allowed,S7,s7_batch; machine_extracted
B01-S07,S7,10.22050/ijogst.2012.2775,2012,An Improvement in Thermal and Rheological Properties of Water-based Drilling Fluids Using Multiwall Carbon Nanotube (MWCNT),"Sedaghatzadeh, Mostafa; Khodadadi, Abbasali; Tahmasebi birgani, Mohammad reza",include,,abstract,cc-by-4.0_journal_statement,allowed,S7,s7_batch; machine_extracted
B01-S08,S7,10.22078/jpst.2016.662,2016,Thermal and Rheological Properties Improvement of Oil-based Drilling Fluids Using Multi-walled Carbon Nanotubes (MWCNT),"Sedaghatzadeh, Mostafa; Fazel abdulabadi, Babak; Shahbazi, Khalil",include,,abstract,cc-by-4.0_journal_statement,allowed,S7,s7_batch; machine_extracted
B01-S09,S7,10.1115/omae2018-78702,2018,Effect of MWCNT and MWCNT Functionalized -OH and -COOH Nanoparticles in Laboratory Water Based Drilling Fluid,"Alvi, Muhammad Awais Ashfaq; Belayneh, Mesfin; Saasen, Arild; Fjelde, Kjell Kare; Aadnoy, Bernt S.",include,,abstract,unknown_asme,restricted,S7,s7_batch; machine_extracted
B01-S10,S7,10.1088/1757-899x/380/1/012021,2018,Application of nanomaterials to enhanced the lubricity and rheological properties of water based drilling fluid,"Ismail, A R; Rashid, M S A; Thameem, B",include,,abstract,cc-by-3.0,allowed,S7,s7_batch; machine_extracted
