evidence_id,source_id,property_id,context_type,participant_ids,composition_stage,composition_completeness,series_id,series_coordinate,measurand_entity_id,result_basis,raw_value_text,value_original,unit_original,value_canonical,unit_canonical,conversion_rule,conversion_version,uncertainty_status,method_run_id,origin_kind,ingestion_route,exact_locator,extraction_mode,source_verification_status,redistribution_status,data_level,review_status,reviewer,flags,notes
B01-E01,B01-S01,lubricity_coefficient,lubricity_test,WBDF_unspecified;metal_coupons_unspecified,as_tested,incomplete,,,drilling_fluid,not_stated,0.238,0.238,1,0.238,1,,,not_reported,lubricity_tester_unspecified_standard,,,ScienceDirect abstract of 10.1016/j.petrol.2016.01.036; also Highlights on publisher HTML,,,restricted,,,,ppb_elsewhere;fulltext_not_read,FACT from publisher abstract: CoF of drilling fluid without nanoparticles and GBs. Geometry/standard UNKNOWN.
B01-E02,B01-S01,lubricity_coefficient,lubricity_test,WBDF_MWCNT,as_tested,incomplete,,,drilling_fluid,MWCNT_dose_0.01_ppb_source_native,0.01ppb of MWCNT ... provided 44% CoF reduction,44,%,,,not_converted;relative_change,,not_reported,lubricity_tester_unspecified,,,ScienceDirect abstract of 10.1016/j.petrol.2016.01.036,,,restricted,,,,ppb_basis_unconfirmed;do_not_convert_ppb;relative_not_absolute_CoF,FACT: 44% CoF reduction at 0.01 ppb MWCNT. Reduced CoF not stated. ppb in drilling literature may mean lbm/bbl; not converted.
B01-E03,B01-S01,hpht_filtrate_volume,filtration_test,WBDF_MWCNT,as_tested,incomplete,,,filtrate,not_stated_API_vs_HPHT_unknown,MWCNT showed 4.5ml of filtrate volume,4.5,ml,,,not_converted;T_P_time_unknown,,not_reported,filter_press_unspecified,,,ScienceDirect abstract of 10.1016/j.petrol.2016.01.036,,,restricted,,,,property_id_provisional;may_be_API_LTLP_not_HPHT,"FACT: 4.5 ml filtrate for MWCNT fluid. T, P, time, filter medium UNKNOWN in abstract. Do not treat as HPHT unless full text says so. Publisher figures Fig.6 exist; digitization_required."
B01-E04,B01-S01,filter_cake_thickness,filtration_test,WBDF_MWCNT,as_tested,incomplete,,,filter_cake,not_stated,2/32 inch of mud cake thickness,2/32,inch,0.0015875,m,(2/32)*0.0254 m,0.1.0,not_reported,filter_press_unspecified,,,ScienceDirect abstract of 10.1016/j.petrol.2016.01.036,,,restricted,,,,oilfield_32nds_inch,FACT original 2/32 inch. Canonical derived; original remains authoritative.
B01-E05,B01-S09,hpht_filtrate_volume,filtration_test,CMC_bentonite_KCl_MWCNT,as_tested,incomplete,,,filtrate,0.0095_wt_percent_MWCNT,0.0095wt.% of MWCNT ... decreases the filtrate-loss by 8.6 %,8.6,%,,,not_converted;relative_to_unspecified_blank,,not_reported,room_temperature_filtration_unspecified,,,Crossref/OpenAlex abstract of 10.1115/omae2018-78702,,,restricted,,,,relative_change;T_room;API_vs_HPHT_unknown,FACT relative filtrate-loss decrease for unmodified MWCNT vs same abstract's CMC/bentonite system. Absolute volume UNKNOWN.
B01-E06,B01-S09,hpht_filtrate_volume,filtration_test,CMC_bentonite_KCl_MWCNT_COOH,as_tested,incomplete,,,filtrate,0.0095_wt_percent_MWCNT_COOH,MWCNT-COOH ... decreases the filtrate-loss by ... 17.9 %,17.9,%,,,not_converted;relative_change,,not_reported,room_temperature_filtration_unspecified,,,Crossref/OpenAlex abstract of 10.1115/omae2018-78702,,,restricted,,,,functionalization_matched_dose,"FACT: at same 0.0095 wt.%, COOH-functionalized MWCNT reduced filtrate more than pristine (8.6%) or OH (7.1%). Supports H6/H7 that chemistry not mass alone matters. Absolute volumes UNKNOWN."
B01-E07,B01-S09,lubricity_coefficient,lubricity_test,CMC_bentonite_KCl_MWCNT_variants,as_tested,incomplete,,,drilling_fluid,0.0095_wt_percent,"decreased the coefficient of friction by 34 %, 37 % and 33 % respectively [MWCNT, MWCNT-OH, MWCNT-COOH]",34;37;33,%,,,not_converted;relative_change,,not_reported,friction_coefficient_method_unspecified,,,Crossref/OpenAlex abstract of 10.1115/omae2018-78702,,,restricted,,,,relative_CoF;geometry_unknown,FACT relative CoF reductions at matched 0.0095 wt.%. Functionalization changed filtrate more than CoF.
B01-E08,B01-S06,hpht_filtrate_volume,filtration_test,oil_based_mud_CNT_1volpct,as_tested,incomplete,,T=138 C; P=500 psi,filtrate,1_volume_percent_CNT,filtration tests conducted at 138 °C and 500 (psi) show a 16.67 % reduction in filtrate amount (1 % vol. CNT),16.67,%,,,not_converted;relative_change,,not_reported,HPHT_filtration_500_psi_138C,,,OpenAlex/Springer abstract of 10.1007/s13204-014-0359-5,,,allowed,,,,relative_change;functionalized_vs_not_not_split_in_this_sentence,FACT relative HPHT filtrate reduction for CNT-oil-based case. Absolute filtrate UNKNOWN. Overlaps B01-S08 16.67% at 280 F / 500 psi.
B01-E09,B01-S08,hpht_filtrate_volume,filtration_test,oil_based_mud_MWCNT_1volpct,as_tested,incomplete,,T=280 F; P=500 psi,filtrate,1_volume_percent_MWCNT,HTHP filtration tests conducted at 280°F and 500 psi show a reduction of 16.67% for the filtrate amount ... (with 1% vol. MWCNT),16.67,%,,,not_converted;relative_change,,not_reported,HPHT_filtration_500_psi_280F,,,publisher abstract https://doi.org/10.22078/jpst.2016.662,,,allowed,,,,possible_duplicate_series_with_B01-S06;temperature_unit_F,"FACT from JPST abstract. 280 F is 137.78 C, close to B01-S06 138 C. INFERENCE: likely same campaign; do not treat as independent replicate until full texts compared."
B01-E10,B01-S05,bet_surface_area,nanomaterial_lot,SWCNT_TUBALL,as_received,partial,,,SWCNT_powder,BET_as_reported,"specific surface area, according to the BET method, was 510 m2/g",510,m2/g,510000,m2/kg,multiply_by_1000,0.1.0,not_reported,BET_unspecified_protocol,,,"Energies 2023, 16, 6875 HTML Materials section; doi 10.3390/en16196875",,,allowed,,,,,"FACT CC BY HTML. Lot: TUBALL, OCSiAl. Diameter 1.6 ± 0.4 nm also stated in same paragraph."
