source_id,title,year,authors,doi,url,container,source_type,access_status,license,redistribution_status,doi_verified,fulltext_level,screening_decision,reason_code,query_stream,related_hypotheses,notes
B01-S01,"The novel approach for the enhancement of rheological properties of water-based drilling fluids by using multi-walled carbon nanotube, nanosilica and glass beads",2016,"Ismail, A.R.; Aftab, A.; Ibupoto, Z.H.; Zolkifile, N.",10.1016/j.petrol.2016.01.036,https://doi.org/10.1016/j.petrol.2016.01.036,Journal of Petroleum Science and Engineering,journal-article,metadata_open; abstract_from_publisher_html,unknown_elsevier,restricted,yes_crossref_and_sciencedirect,abstract,include,,Q4;seed,H7,Closest generic-performance prior art. ppb treated as source-native; basis not converted. ScienceDirect PII S0920410516300365 matches this DOI.
B01-S02,Physico-chemical studies and development of water-based drilling fluid formulations with carbon nanotube additives,2024,"Lysakova, E.I.; Skorobogatova, A.D.; Neverov, A.L.; Pryazhnikov, M.I.; Rudyak, V.Ya.; Minakov, A.V.",10.1016/j.molliq.2024.125448,https://doi.org/10.1016/j.molliq.2024.125448,Journal of Molecular Liquids,journal-article,metadata_open; abstract_not_returned_by_crossref_openalex_or_s2,unknown_elsevier,restricted,yes_crossref,metadata_only,include,inaccessible_fulltext,Q4;seed,H7;H5,Closest named 2024 WBM competitor. No extractable numbers without full text. HIGH PRIORITY human full-text.
B01-S03,Comparative analysis of the effect of single-walled and multi-walled carbon nanotube additives on the properties of hydrocarbon-based drilling fluids,2023,"Lysakova, E.; Skorobogatova, A.; Neverov, A.; Pryazhnikov, M.; Zhigarev, V.; Voronin, A.; Shabanova, K.; Minakov, A.",10.1016/j.colsurfa.2023.132434,https://doi.org/10.1016/j.colsurfa.2023.132434,Colloids and Surfaces A: Physicochemical and Engineering Aspects,journal-article,metadata_open; abstract_not_returned,unknown_elsevier,restricted,yes_crossref,metadata_only,include,inaccessible_fulltext,Q4,H7;H8,SWCNT vs MWCNT in hydrocarbon DF. Numbers cited by later OA paper B01-S18 as secondary; those numbers are not extracted from this source.
B01-S04,A comprehensive study of the effect of multi-walled carbon nanotubes as an additive on the properties of oil-based drilling fluids,2024,"Lysakova, E.I.; Skorobogatova, A.D.; Neverov, A.L.; Pryazhnikov, M.I.; Rudyak, V.Ya.; Minakov, A.V.",10.1007/s10853-024-09492-w,https://doi.org/10.1007/s10853-024-09492-w,Journal of Materials Science,journal-article,metadata_open; publisher_abstract_elided,unknown_springer,restricted,yes_crossref,metadata_only,include,inaccessible_fulltext,Q4,H7,OBM MWCNT multi-property study. HIGH PRIORITY human full-text.
B01-S05,Effect of Nanoparticle and Carbon Nanotube Additives on Thermal Stability of Hydrocarbon-Based Drilling Fluids,2023,"Lysakova, Evgeniya I.; Minakov, Andrey V.; Skorobogatova, Angelica D.",10.3390/en16196875,https://doi.org/10.3390/en16196875,Energies,journal-article,open_access,cc-by-4.0,allowed,yes_crossref_and_mdpi_html,oa_html_partial_read,include,,Q4,H7;H8;H5,CC BY. Invert emulsion HC/W 65/35. TSI colloidal stability; not DLS. Processing: ultrasound 60 min in CaCl2 brine then Hamilton Beach 20000 rpm 30 min.
B01-S06,Thermal and rheological properties improvement of drilling fluids using functionalized carbon nanotubes,2014,"Fazelabdolabadi, Babak; Khodadadi, Abbas Ali; Sedaghatzadeh, Mostafa",10.1007/s13204-014-0359-5,https://doi.org/10.1007/s13204-014-0359-5,Applied Nanoscience,journal-article,open_access,cc-by,allowed,yes_crossref_unpaywall,abstract_plus_publisher_landing; pdf_not_copied,include,,Q4;seed_related,H7;H6,Functionalized vs unfunctionalized MWCNT. Overlaps numerically with B01-S07/S08; treat as related series pending human check.
B01-S07,An Improvement in Thermal and Rheological Properties of Water-based Drilling Fluids Using Multiwall Carbon Nanotube (MWCNT),2012,"Sedaghatzadeh, Mostafa; Khodadadi, Abbasali; Tahmasebi birgani, Mohammad reza",10.22050/ijogst.2012.2775,https://ijogst.put.ac.ir/article_2775.html,Iranian Journal of Oil and Gas Science and Technology,journal-article,open_access_publisher_page,cc-by-4.0_journal_statement,allowed,publisher_page_yes; crossref_404,abstract,include,,Q4,H7;H6,Crossref works/{doi} 404. Identity verified on ijogst.put.ac.ir. Thermal-conductivity values match B01-S06 abstract; possible overlapping dataset.
B01-S08,Thermal and Rheological Properties Improvement of Oil-based Drilling Fluids Using Multi-walled Carbon Nanotubes (MWCNT),2016,"Sedaghatzadeh, Mostafa; Fazel abdulabadi, Babak; Shahbazi, Khalil",10.22078/jpst.2016.662,https://doi.org/10.22078/jpst.2016.662,Journal of Petroleum Science and Technology,journal-article,open_access_publisher_page,cc-by-4.0_journal_statement,allowed,publisher_page_yes; crossref_404,abstract,include,,Q4,H7;H6,HPHT filtration 280 F and 500 psi in abstract. Overlaps 16.67% filtrate reduction with B01-S06 oil-based case.
B01-S09,Effect of MWCNT and MWCNT Functionalized -OH and -COOH Nanoparticles in Laboratory Water Based Drilling Fluid,2018,"Alvi, Muhammad Awais Ashfaq; Belayneh, Mesfin; Saasen, Arild; Fjelde, Kjell Kare; Aadnoy, Bernt S.",10.1115/omae2018-78702,https://doi.org/10.1115/omae2018-78702,ASME OMAE 2018 Volume 8,proceedings-article,metadata_open; crossref_abstract,unknown_asme,restricted,yes_crossref,abstract,include,,Q4,H7;H6,Matched functionalization at fixed 0.0095 wt.% in CMC/bentonite. Room temperature only.
B01-S10,Application of nanomaterials to enhanced the lubricity and rheological properties of water based drilling fluid,2018,"Ismail, A R; Rashid, M S A; Thameem, B",10.1088/1757-899x/380/1/012021,https://doi.org/10.1088/1757-899X/380/1/012021,IOP Conference Series: Materials Science and Engineering,proceedings-article,open_access,cc-by-3.0,allowed,yes_crossref_iopscience,abstract,include,,Q4,H7,Abstract reports a combined MWCNT 0.01 ppb AND GNP 0.02 ppb lubricity range; do not attribute the full 38-59% range to MWCNT alone.
B01-S11,"Enhancing the rheological properties and shale inhibition behavior of water-based mud using nanosilica, multi-walled carbon nanotube, and graphene nanoplatelet",2017,"Aftab, A.; Ismail, A.R.; Ibupoto, Z.H.",10.1016/j.ejpe.2016.05.004,https://doi.org/10.1016/j.ejpe.2016.05.004,Egyptian Journal of Petroleum,journal-article,open_access,cc-by-nc-nd,restricted,yes_crossref,abstract,include,,Q4,H7,Negative relative to GNP: 0.1 ppb MWCNT shale volume change 32% vs GNP 10%. NC-ND: no redistribution of text.
B01-S12,The application of MWCNT to enhance the rheological behavior of drilling fluids at high temperature,2017,"Ismail, Abdul Razak; Sulaiman, W. R. W; Jaafar, M. Z.; Aftab, A.; Razi, A. A.; Ibupoto, Z. H.",10.11113/mjfas.v12n3.423,https://doi.org/10.11113/mjfas.v12n3.423,Malaysian Journal of Fundamental and Applied Sciences,journal-article,open_access,unknown,unknown,yes_crossref,abstract,include,,Q4,H7,Sarapar/Saraline SBM; aging 250 F and 350 F for 16 h. MWCNT concentration not in abstract.
B01-S13,Nanoparticles Performance as Fluid Loss Additives in Water Based Drilling Fluids,2016,"Ismail, Abdul Razak; Wan Sulaiman, Wan Rosli; Jaafar, Mohd Zaidi; Ismail, Issham; Sabu Hera, Elisabet",10.4028/www.scientific.net/msf.864.189,https://doi.org/10.4028/www.scientific.net/MSF.864.189,Materials Science Forum,journal-article,open_access_metadata,cc-by,allowed,yes_crossref,abstract,include,,Q4,H7,Abstract reports nanosilica filtrate 12 ml and cake 10 inch at 1 g and 300 F; MWCNT qualitative decreasing trend. Cake 10 inch is physically implausible for API cake; treat as possible unit/typo UNKNOWN until full text.
