vocabulary_version,property_id,label,definition,canonical_unit_code,dimension_code,allowed_context_types,required_coordinate_term,canonical_min,min_inclusive,canonical_max,max_inclusive,active,model_ready_allowed,model_ready_block_reason
0.2.0,surface_tension_equilibrium,Equilibrium surface tension,Equilibrium tension of a liquid-gas interface.,N/m,surface_tension,liquid_gas_interface,,0,1,,1,1,1,
0.2.0,surface_tension_dynamic,Dynamic surface tension,Surface tension at a defined surface age after interface creation.,N/m,surface_tension,liquid_gas_interface,surface_age,0,1,,1,1,1,
0.2.0,interfacial_tension_equilibrium,Equilibrium interfacial tension,Equilibrium tension between two distinct liquid phases.,N/m,surface_tension,liquid_liquid_interface,,0,1,,1,1,1,
0.2.0,interfacial_tension_dynamic,Dynamic interfacial tension,Liquid-liquid interfacial tension at a defined surface age.,N/m,surface_tension,liquid_liquid_interface,surface_age,0,1,,1,1,1,
0.2.0,contact_angle_static,Static contact angle,Apparent static contact angle measured through the explicitly identified phase.,deg,plane_angle,three_phase_contact,,0,1,180,1,1,1,
0.2.0,contact_angle_advancing,Advancing contact angle,Apparent advancing contact angle measured through the explicitly identified phase.,deg,plane_angle,three_phase_contact,,0,1,180,1,1,1,
0.2.0,contact_angle_receding,Receding contact angle,Apparent receding contact angle measured through the explicitly identified phase.,deg,plane_angle,three_phase_contact,,0,1,180,1,1,1,
0.2.0,adsorption_amount_static,Equilibrium adsorption loading,Directly observed equilibrium mass of an identified adsorbate per dry sorbent mass at a stated equilibrium fluid concentration; fitted capacity and area-normalized excess are different terms.,kg/kg,mass_ratio,liquid_solid_interface,,0,1,,1,1,1,
0.2.0,adsorption_retention_dynamic,Deprecated dynamic adsorption retention,Deprecated mechanism-ambiguous legacy term; use porous_media_retained_mass_dynamic unless adsorption is independently demonstrated.,kg/kg,mass_ratio,porous_media_flow,,0,1,,1,0,0,Deprecated mechanism-ambiguous ID; migrate to porous_media_retained_mass_dynamic.
0.2.0,interfacial_layer_thickness,Interfacial layer thickness,Thickness of an operationally defined interfacial or adsorbed layer.,m,length,liquid_gas_interface|liquid_liquid_interface|liquid_solid_interface,,0,0,,1,1,1,
0.2.0,dispersion_stability_index,Dispersion stability index,Method-defined dimensionless stability index; values are comparable only for compatible protocols.,1,dimensionless,dispersion,,,1,,1,1,0,Generic protocol-dependent measurand is not commensurate across methods; use a specific property term.
0.2.0,zeta_potential,Zeta potential,Electrokinetic zeta potential of a specified dispersion and medium.,V,electric_potential,dispersion,,,1,,1,1,1,
0.2.0,aggregate_size_apparent,Apparent aggregate size,Method-dependent apparent size of aggregates or agglomerates in a specified dispersion.,m,length,dispersion,,0,0,,1,1,0,Generic protocol-dependent measurand is not commensurate across methods; use a specific property term.
0.2.0,apparent_viscosity,Apparent viscosity,Bulk apparent dynamic viscosity at a defined shear rate.,Pa.s,dynamic_viscosity,bulk_fluid|dispersion,shear_rate,0,0,,1,1,1,
0.2.0,plastic_viscosity,Plastic viscosity,Plastic viscosity obtained from a stated rheological model or standard.,Pa.s,dynamic_viscosity,bulk_fluid|dispersion,,0,1,,1,1,1,
0.2.0,yield_point,Generic yield point,Legacy generic rheological yield measure; retained for staging/curation but not commensurate enough for model-ready data.,Pa,rheological_yield_measure,bulk_fluid|dispersion,,0,1,,1,1,0,Generic protocol-dependent measurand is not commensurate across methods; use a specific property term.
0.2.0,gel_strength,Gel strength,Gel strength after a defined rest time and protocol.,Pa,shear_stress,bulk_fluid|dispersion,rest_time,0,1,,1,1,1,
0.2.0,hpht_filtrate_volume,HPHT filtrate volume,Cumulative filtrate volume in a defined HPHT filtration test.,m3,volume,filtration_test,filtration_time,0,1,,1,1,1,
0.2.0,filter_cake_thickness,Filter cake thickness,Thickness of a filter cake after a defined filtration protocol.,m,length,filtration_test,,0,1,,1,1,1,
0.2.0,lubricity_coefficient,Lubricity coefficient,Dimensionless coefficient from a stated lubricity geometry and protocol.,1,dimensionless,lubricity_test,,0,1,,1,1,1,
0.2.0,permeability_impairment,Permeability impairment,Fractional loss (k_before - k_after) / k_before; negative values denote improvement.,1,dimensionless,porous_media_flow,,,1,1,1,1,1,
0.2.0,recovery_factor,Recovery factor,Recovered target fluid divided by the explicitly stated initial or residual in-place basis.,1,dimensionless,porous_media_flow,,0,1,1,1,1,1,
0.2.0,bet_surface_area,BET specific surface area,Specific surface area determined by a stated BET protocol.,m2/kg,area_per_mass,nanomaterial_lot,,0,0,,1,1,1,
0.2.0,raman_id_ig,Raman ID to IG ratio,Raman D-band to G-band intensity ratio at a stated excitation wavelength and fitting convention.,1,dimensionless,nanomaterial_lot,,0,1,,1,1,1,
0.2.0,cnt_outer_diameter,CNT outer diameter,Outer-diameter statistic of a CNT population with the statistic and characterization method reported.,m,length,nanomaterial_lot,,0,0,,1,1,1,
0.2.0,cnt_length,CNT length,Length statistic of a CNT population with the statistic and characterization method reported.,m,length,nanomaterial_lot,,0,0,,1,1,1,
0.2.0,porous_media_retained_mass_dynamic,Porous-media retained mass,"Net mass of an identified material retained per dry porous-medium mass during a stated transport experiment, without assigning adsorption, deposition, straining or plugging mechanism.",kg/kg,mass_ratio,porous_media_flow,,0,1,,1,1,1,
0.2.0,sedimentation_supernatant_mass_fraction,Sedimentation supernatant mass fraction,Mass fraction of an identified initially dispersed component remaining in a defined supernatant region after gravitational storage for the stated time.,1,mass_fraction,dispersion,storage_time,0,1,1,1,1,1,
0.2.0,centrifugation_supernatant_mass_fraction,Centrifugation supernatant mass fraction,Mass fraction of an identified initially dispersed component remaining in the operationally defined supernatant after stated relative centrifugal force and duration.,1,mass_fraction,dispersion,,0,1,1,1,1,1,
0.2.0,dls_hydrodynamic_diameter_z_average,DLS hydrodynamic z-average diameter,ISO cumulants z-average hydrodynamic diameter reported by dynamic light scattering for the specified dispersion.,m,length,dispersion,,0,0,,1,1,1,
0.2.0,image_aggregate_equivalent_diameter,Image-derived aggregate equivalent diameter,Equivalent-circle diameter of segmented CNT aggregates or agglomerates under a stated imaging and segmentation protocol.,m,length,dispersion,,0,0,,1,1,1,
0.2.0,interfacial_coverage_fraction,Interfacial coverage fraction,Projected fraction of an explicitly identified liquid-liquid interface classified as covered by the identified material under a stated segmentation rule.,1,area_fraction,liquid_liquid_interface,,0,1,1,1,1,1,
0.2.0,emulsion_droplet_diameter_d32,Emulsion Sauter mean droplet diameter,"Surface-area-weighted Sauter mean diameter D[3,2] of an emulsion droplet population.",m,length,bulk_fluid,,0,0,,1,1,1,
0.2.0,emulsion_separated_volume_fraction,Emulsion separated volume fraction,Macroscopic separated-phase volume divided by initial emulsion sample volume after the stated storage time.,1,volume_fraction,bulk_fluid,storage_time,0,1,1,1,1,1,
0.2.0,oscillatory_storage_modulus,Oscillatory storage modulus,Linear-viscoelastic storage modulus G prime at the stated angular frequency or frequency and strain amplitude.,Pa,shear_modulus,bulk_fluid|dispersion,frequency,0,1,,1,1,1,
0.2.0,oscillatory_loss_modulus,Oscillatory loss modulus,Linear-viscoelastic loss modulus G double prime at the stated angular frequency or frequency and strain amplitude.,Pa,shear_modulus,bulk_fluid|dispersion,frequency,0,1,,1,1,1,
0.2.0,yield_stress_herschel_bulkley,Herschel-Bulkley yield stress,Yield-stress parameter from a stated Herschel-Bulkley fit and fit domain.,Pa,shear_stress,bulk_fluid|dispersion,,0,1,,1,1,1,
0.2.0,oilfield_yield_point_api,Oilfield yield point,Oilfield yield point calculated from viscometer readings under an identified API or equivalent standard and converted to pascals.,Pa,shear_stress,bulk_fluid|dispersion,,0,1,,1,1,1,
0.2.0,cnt_purity_mass_fraction,CNT purity mass fraction,Assay-defined CNT fraction of the as-received nanomaterial sample by mass.,1,mass_fraction,nanomaterial_lot,,0,1,1,1,1,1,
0.2.0,cnt_ash_mass_fraction,CNT ash mass fraction,Residual ash mass fraction of a dry nanomaterial sample under the stated thermal protocol.,1,mass_fraction,nanomaterial_lot,,0,1,1,1,1,1,
0.2.0,cnt_surface_oxygen_atomic_fraction,CNT surface oxygen atomic fraction,XPS-derived oxygen atomic fraction among all quantified surface atoms under the stated quantification protocol.,1,atomic_fraction,nanomaterial_lot,,0,1,1,1,1,1,
0.2.0,cnt_functional_group_amount,CNT functional-group amount,Amount of an explicitly identified surface functional group per dry nanotube mass under a stated assay.,mol/kg,amount_per_mass,nanomaterial_lot,,0,1,,1,1,1,
0.2.0,cnt_aspect_ratio,CNT aspect ratio,"Population statistic of CNT length divided by outer diameter, with pairing and weighting convention reported.",1,dimensionless,nanomaterial_lot,,0,0,,1,1,1,
